date,sulfur_dioxide_min,sulfur_dioxide_max,sulfur_dioxide_mean,sulfur_dioxide_median,carbon_monoxide_min,carbon_monoxide_max,carbon_monoxide_mean,carbon_monoxide_median,ozone_min,ozone_max,ozone_mean,ozone_median,nitrogen_dioxide_min,nitrogen_dioxide_max,nitrogen_dioxide_mean,nitrogen_dioxide_median,fine_dust_pm10_min,fine_dust_pm10_max,fine_dust_pm10_mean,fine_dust_pm10_median,rainfall_min,rainfall_max,rainfall_mean,rainfall_median,probability of precipitation_min,probability of precipitation_max,probability of precipitation_mean,probability of precipitation_median,humidity_min,humidity_max,humidity_mean,humidity_median,highest temperature_min,highest temperature_max,highest temperature_mean,highest temperature_median,lowest temperature_min,lowest temperature_max,lowest temperature_mean,lowest temperature_median,wind speed_min,wind speed_max,wind speed_mean,wind speed_median,sky state_min,sky state_max,sky state_mean,sky state_median,visitor,day,wind direction_min_0.0,wind direction_min_1.0,wind direction_min_2.0,wind direction_min_3.0,wind direction_min_4.0,wind direction_min_5.0,wind direction_min_6.0,wind direction_min_7.0,wind direction_min_8.0,wind direction_min_9.0,wind direction_min_10.0,wind direction_min_11.0,wind direction_min_12.0,wind direction_min_13.0,wind direction_min_14.0,wind direction_max_1.0,wind direction_max_2.0,wind direction_max_3.0,wind direction_max_4.0,wind direction_max_5.0,wind direction_max_6.0,wind direction_max_7.0,wind direction_max_8.0,wind direction_max_9.0,wind direction_max_10.0,wind direction_max_11.0,wind direction_max_12.0,wind direction_max_13.0,wind direction_max_14.0,wind direction_max_15.0,wind direction_max_16.0,wind direction_mean_0.0,wind direction_mean_1.0,wind direction_mean_2.0,wind direction_mean_3.0,wind direction_mean_4.0,wind direction_mean_5.0,wind direction_mean_6.0,wind direction_mean_7.0,wind direction_mean_8.0,wind direction_mean_9.0,wind direction_mean_10.0,wind direction_mean_11.0,wind direction_mean_12.0,wind direction_mean_13.0,wind direction_mean_14.0,wind direction_mean_15.0,wind direction_median_0.0,wind direction_median_1.0,wind direction_median_2.0,wind direction_median_3.0,wind direction_median_4.0,wind direction_median_5.0,wind direction_median_6.0,wind direction_median_7.0,wind direction_median_8.0,wind direction_median_9.0,wind direction_median_10.0,wind direction_median_11.0,wind direction_median_12.0,wind direction_median_13.0,wind direction_median_14.0,wind direction_median_15.0,wind direction_median_16.0,weekday_1.0,weekday_2.0,weekday_3.0,weekday_4.0,weekday_5.0,weekday_6.0,weekday_7.0
2009-01-03,8.3690772118956,4.884141840850745,6.901729592287999,7.079168709147664,0.2505058082224533,1.224215105004629,1.6495996078887696,2.0882118902750864,-0.1766001328794898,-1.233605774873724,-1.1357081063105292,-0.8928438619184841,1.7574956082288942,1.6436061139914475,1.931369478581204,1.972529544199629,0.0061251129665501,1.2655445240318204,0.395169263858457,0.2097413112894827,-0.0674260942893533,2.254329724133817,4.598206148941405,4.823179864142373,0.2481086238392194,0.7577259129977966,0.3813249561165695,0.433532046720381,-0.9450396851052556,-0.3542991967808235,-0.9926246920748184,-0.6273595019151984,-1.1619721370208895,-0.8588421520159213,-0.8569535168524657,-0.8285758069987685,-1.051002402806237,-1.1537696392114534,-1.1241677005587218,-1.2413756502855275,-0.5156737434363545,-0.3203692289304,-0.69144816260041,-0.6823276318219901,-0.7747239351199735,-1.516825197963772,-1.4514033219334794,-1.357360438670932,8856,-1.68651198465635,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2009-01-04,7.1696415068371895,7.350193817777841,7.0149961827431975,6.68411634401496,-1.380756288592888,1.6770912017072337,1.1166751055205393,1.3189444904394398,-0.1766001328794898,-0.3378347624143888,-0.8389314880948573,-0.8928438619184841,-0.1420004115253915,1.1635351180205151,1.291576979325552,1.4092800515329036,-0.5822525050537971,0.4591293747063723,0.0746243044545388,0.0815765237527445,-0.0674260942893533,-0.100826193365507,-0.2508109090868791,-0.2425085435021049,1.2884281679017298,1.4828252919468523,1.2859519114758813,0.726213911016111,1.034442556752647,0.1694880427394068,0.6163497211987051,0.500662682790258,-1.2524409168361048,-0.8588421520159213,-1.023961683646733,-0.8285758069987685,-0.9597012834815676,-1.0544108569360435,-0.9509225475507812,-0.956647401692088,-0.8636865404833667,2.5135779305278065,0.4986519760682694,-0.3385570813923573,-0.7747239351199735,-0.3249994773096523,-0.4485860211126992,-0.4155652284826103,24046,-1.676960359766771,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-01-06,8.968795064424803,5.108328384207755,6.853186767807188,6.68411634401496,1.338013872766014,1.6770912017072337,1.9725841547786065,2.0882118902750864,-0.1766001328794898,-1.121634398316307,-1.1454919508670895,-0.8928438619184841,2.4482214335940893,2.2436948589551142,2.6474066798206963,2.761078833933044,1.4544392496320202,1.7572610784985572,1.959701469970348,1.891904147709172,10.079378826815775,6.2917398684183725,5.897798616943223,4.823179864142373,-0.7922109202232909,-1.0550225343748427,-1.0669081054448968,-1.0298772747582692,-0.2852122711526215,0.1694880427394068,-0.0875765846084614,0.1246552878884392,-1.5238472562817509,-1.920110199098994,-1.726378385163798,-1.7530645072603743,-1.598809118754254,-1.8492811151393205,-1.7155908091030707,-1.7159227312745933,-0.5156737434363545,-0.8089808081473322,-0.8673349894364945,-0.878767946353209,1.5123797393729628,0.8668262433444672,1.557048580528861,1.468025191894033,6640,-1.657857109987613,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2009-01-07,2.371898686603552,6.00507455763579,5.218911676953199,5.89401161374955,-0.8370022563211076,1.903529250058536,1.8433903360226715,1.8958950403161756,-0.4296330083201754,-1.0843106061305017,-1.165059639980211,-0.9673657818756968,1.6711548800582448,2.423721482444213,2.5346971203663364,2.573329003044135,-0.0391347038042458,1.5605744567118625,1.2673124966048073,1.1709772178150193,-0.0674260942893533,2.254329724133817,0.1544383551287412,-0.2425085435021049,0.2481086238392194,-0.6924728449003148,-0.0211925423689953,0.1408501824246509,-0.6151259781289385,-0.3542991967808235,-0.4137200467585002,-0.2513521070133795,-1.5238472562817509,-1.8236312857278052,-1.6625223213895195,-1.6606156372342138,-1.5075079994295846,-1.749922332863911,-1.631955217995789,-1.62101331507678,-0.6896801419598605,-0.8578419660690255,-0.8228578608112775,-0.8296578677204043,-0.7747239351199735,0.8668262433444672,0.5542312797080808,-0.4155652284826103,24458,-1.648305485098034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-01-10,-0.6266905760424716,-0.0479621130034445,-0.4120559628208556,-0.4268262283737264,-0.8370022563211076,-1.0401653785083926,-1.1001733754051544,-1.181174559026411,0.9620478066035952,-0.636425099900834,-0.0301336714191894,0.1877239774610986,-0.6600447805492876,-1.1168021128414165,-0.9427242875050904,-0.8437179191339969,-0.4464730547414092,-0.0719245041177033,-0.359549543426328,-0.4310826263942083,-0.0674260942893533,-0.100826193365507,-0.3067073593235164,-0.2425085435021049,-0.7922109202232909,-1.0550225343748427,-0.7473839056161491,-0.4445135461668091,-0.6151259781289385,0.6932752822596372,-0.2316232803913951,-0.2513521070133795,-1.2524409168361048,-1.5341945456142403,-1.3776260368581223,-1.383269027155732,-1.233604641455576,-1.451845986037682,-1.3691005030871897,-1.3837397745822473,-0.8636865404833667,-0.5646750185388661,-0.7790546280743217,-0.8296578677204043,-0.7747239351199735,-0.3249994773096523,-1.4514033219334794,-1.357360438670932,8118,-1.6196506104292967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2009-01-11,-0.6266905760424716,2.193903320566642,0.7529718247186038,0.3632785018916832,-1.380756288592888,0.0920248632481182,-0.6274414476845759,-0.7965408591085879,-0.3031165705998326,-0.4498061389718057,-0.0333949529380376,0.485811657289949,-0.7463855087199369,-0.3366867443886502,-0.8233847539651752,-1.0690177162006944,-0.672772138595389,-0.0129185175816949,-0.421879377345573,-0.527206217046762,-0.0674260942893533,-0.100826193365507,-0.0887112034006309,-0.2425085435021049,-0.7922109202232909,-0.6924728449003148,-0.6560912770936498,-0.7371954104625391,-0.9450396851052556,-0.8780864363010539,-0.9382674483831452,-0.8153631993661078,-1.2524409168361048,-1.4377156322430518,-1.3334179927066987,-1.2908201571295714,-1.416206880104915,-1.6505635505885017,-1.5722155100620163,-1.5261038988789668,-0.6896801419598605,-0.4669527026954798,-0.7231212693486699,-0.8296578677204043,0.3688279021264947,0.8668262433444672,0.5542312797080808,0.5262299817057114,13247,-1.6100989855397174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-01-12,-0.6266905760424716,-0.2721486563604532,-0.0560752499615634,-0.0317738632410215,-1.380756288592888,-1.0401653785083926,-1.031172131296871,-0.7965408591085879,0.8355313688832527,-0.5991013077150283,0.1035788708538095,0.485811657289949,-0.8327262368905863,-1.3568376108268827,-1.2278131731837745,-1.181667614734032,-0.8538114056785727,-0.3276171124404064,-0.540549213380215,-0.5432268154888543,-0.0674260942893533,-0.4372770387225533,-0.3626038095601536,-0.2425085435021049,0.2481086238392194,-0.329923155425787,0.2858826626612296,0.1408501824246509,-0.2852122711526215,-0.3542991967808235,-0.430027219866002,-0.2513521070133795,-1.1619721370208895,-1.4377156322430518,-1.3039459632724162,-1.383269027155732,-1.416206880104915,-1.3524872037622726,-1.422866240227585,-1.62101331507678,-0.3416673449128485,-0.3692303868520932,-0.6085589683443241,-0.6332175531891855,0.3688279021264947,-0.3249994773096523,-0.4485860211126992,-0.4155652284826103,19622,-1.6005473606501384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-13,1.1724629815451424,3.0906494939946767,2.290161266610972,1.5484355972897976,-1.380756288592888,0.5449009599507227,-0.2075615367277888,-0.4119071591907646,-0.4296330083201754,-0.636425099900834,-0.5943353741808439,-0.1848856223249718,-0.4010225960373395,0.8034818710423152,0.3037108405784722,-0.0176186632228,-0.7180319553661849,-0.2096051393683896,-0.5200888968225181,-0.5592474139309466,-0.0674260942893533,-0.4372770387225533,-0.3626038095601536,-0.2425085435021049,-0.7922109202232909,-0.6924728449003148,-0.8926221782655798,-1.0298772747582692,-0.9450396851052556,-0.8780864363010539,-0.6773526786631144,-0.2513521070133795,-1.2524409168361048,-1.4377156322430518,-1.4365700957266871,-1.4757178971818927,-1.051002402806237,-1.3524872037622726,-1.195855350079249,-1.1464662340877143,-0.1676609463893425,-0.0272022814002408,-0.2608286900017201,-0.3385570813923573,1.5123797393729628,0.8668262433444672,0.5542312797080808,0.5262299817057114,19035,-1.5909957357605593,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2009-01-14,-0.0269727235132669,2.642276407280659,1.238400069526712,1.350909414723445,-1.380756288592888,0.5449009599507227,-0.6758891297180514,-0.7965408591085879,-0.4296330083201754,-0.4871299311576114,-0.2323331255881043,0.1504630174824922,-0.6600447805492876,0.8034818710423152,-0.3294516845916392,-0.6184181220673068,0.4587232806745094,0.1050934554903218,0.0418877979622237,-0.0305676653419014,-0.0674260942893533,-0.4372770387225533,-0.3626038095601536,-0.2425085435021049,-0.7922109202232909,-1.0550225343748427,-1.1167040846389873,-1.0298772747582692,-0.9450396851052556,-0.3542991967808235,-0.5061273610343442,-0.2513521070133795,-1.2524409168361048,-1.5341945456142403,-1.4169220761038324,-1.4757178971818927,-1.3249057607802457,-1.451845986037682,-1.375074473880567,-1.2413756502855275,-0.5156737434363545,-0.7112584923039459,-0.7298602282312787,-0.6332175531891855,-0.7747239351199735,0.8668262433444672,0.5542312797080808,0.5262299817057114,22131,-1.5814441108709802,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-01-17,5.97020580177878,6.453447644349807,5.623435214293301,5.696485431183198,0.7942598404942337,4.39434778192286,2.6024040212137867,1.8958950403161756,-0.1766001328794898,-1.233605774873724,-1.0965727280842872,-0.8928438619184841,1.843836336399544,0.6834641220495822,1.2584271088977952,1.221530220643995,3.219572103693062,1.914610375927913,2.715369161501287,2.6929340698137856,-0.0674260942893533,0.2356246519915392,-0.2228626839685604,-0.2425085435021049,-0.7922109202232909,-0.6924728449003148,-0.8137785445416031,-1.0298772747582692,-0.6151259781289385,0.1694880427394068,-0.5496131559876827,-0.439355804464289,-1.1619721370208895,-1.3412367188718637,-1.2057058651581414,-1.1059224170772504,-0.8684001641568981,-1.0544108569360435,-0.9509225475507812,-0.8617379854942747,-0.5156737434363545,-0.1249245972436271,-0.565429631495629,-0.6332175531891855,-0.7747239351199735,-0.3249994773096523,-0.4485860211126992,-1.357360438670932,14961,-1.552789236202243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
